CCN,COMP_ITEM_ID,COMMODITY,LEAD_TIME,CFG,ITM_DESC,CHANNEL_ID,PRODUCT_ID,PRODUCT_NAME,SCHEDULER_NAME,DMND_WEEK_STRT_DATE,VRSN_WEEK_STRT_DATE,MRP_FCST_QTY,SUPPLY_CHAIN_TYPE,DW_PKG_UPD_DTS
E10000,MGJN9,ADPT,13,Adapter_Cavendish_65W_L6_3P_WW_4.5mm,"ADPT,AC,65W,LTON,3P,L6,4.5MM",2190,56834,DOGFISH 9 BTX,BTX_OPTIPLEX_DESKTOPS,16-07-2016,31-10-2015,0,BTS,02:40.4
E10000,423F8,Keyboard_NBK,17,"NBKYBD_KYBD,102,POR,M14NXC","KYBD,102,POR,M14NXC",2190,60707,VANGOGH15SKLBTX,MIKE_SIMMONDS_COMM_NBK_KEYBOARDS,24-12-2016,07-05-2016,4,CTO,32:44.2
DAO,80HJ5,ODM Mechanical,13,"80HJ5-ASSY,CVR,HNG CAP,N-T, HD,L,H12","ASSY,CVR,HNG CAP,N-T, HD,L,H12",1865,57513,HOUSTON12BTX,BTX_LATITUDE,09-07-2016,03-10-2015,0,BTS,51:30.0
C10000,P5MHW,LCD,15,"P5MHW-ASSY,LCD,HUD,14HDF,TCH,3450","ASSY,LCD,HUD,14HDF,TCH,3450",5000960,56743,MARBLE FALLS14CTO,PHOAY_HOON_TAN (LATI LCD),23-07-2016,31-10-2015,0,CTO,02:40.4
BRH,JWK1D,Wireless,8,CRD_WRLESS_INTEL_7265_M.2,"CRD,WRLES,M.2,7265,BRAZ",2505,68978,PRGOLIADMLK145,LARGE ORDER_BCC LATITUDE,09-01-2016,14-11-2015,0,CTO,02:40.4
E10000,8XG1T,Wireless,8,CRD_WRLES_M.2_INTEL8260_WW,"CRD,WRLES,M.2,INTEL8260,WW",2190,62853,PARKCITY14BTX,BTX_LATITUDE,09-04-2016,13-02-2016,22,BTO,57:56.9
M10000,Y4M8K,ADPT,13,Adapter_Armstrong_90W_L6_3P_WW,"ADPT,AC,90W,LTON,3P,L6,WW ,V2",5000005,56746,MARBLE FALLS15BTX,MOHD_KAMAL_BAKAR (ADAPTER),25-06-2016,05-03-2016,0,CTO,46:25.9
DAO,T8MFH,ODD,13,RMSD_12_7_DVDRW_SATA_BSLSN,"ASSY,DVD+/-RW,8,12.7T,HLDS,BLN",1865,82598,PR54545AVALON3XL,DEBRALEA_ROGERS(LARGE ORDERS),17-09-2016,23-04-2016,0,CTO,59:38.0
DAO,Y90RR,ADPT,13,Adapter_330W_L6_3P_WW,"ADPT,AC,330W,DLTA,3P,L6,WW",1865,62323,ANDROMEDA R3 BTX,BTX_ALIENWARE_DESKTOPS,04-03-2017,26-03-2016,0,BTP,21:48.5
DAO,NFNTY,ODD,13,RMSD_9_5_DVD_SATA_Bare_Std,"DVD,8X,SATA,9.5T,TSST",1865,199,PARTS, HARIDASS_NAIDU(ODD CUS KITS),30-04-2016,09-01-2016,2,CTO,13:36.0
E10000,5120P,CORD,10,5120P_CFG,"CORD,PWR,125V,6FT,SPT2,UNSHLD",2190,58507,X4012,EUGENE_MCMAHON_FORCE10,01-10-2016,05-12-2015,1,CTO,02:40.4
C10000,DKC2X,ODD,13,RMSD_9_5_DVD_SATA_Bare_Std,"DVD,8X,SATA,9.5T,DU90N,HLDS",5000960,62419,BLUEFINAIOCTO,LI_THENG_FOO,11-02-2017,26-03-2016,0,CTO,21:48.5
E10000,V1P2H,Docking,8,"V1P2H-KIT,APR,II,E,NOCORD,130,EMEA2","KIT,APR,II,E,NOCORD,130,EMEA2",2190,199,PARTS,ROBERT_THOMPSTONE_DOCKING_STATIONS,11-06-2016,21-11-2015,72,CTO,02:40.4
E10000,G0YDM,Keyboard_NBK,17,"NBKYBD_KYBD,83,NORW,M14ISFBP","KYBD,83,NORW,M14ISFBP",2190,57497,GOLIADMLK14CTOE,MIKE_SIMMONDS_COMM_NBK_KEYBOARDS,23-07-2016,02-01-2016,0,CTO,21:42.6
E10000,6GDYJ,CORD,10,6GDYJ_Power Cord,"CORD,PWR,250,2.5A,1M,C5,E5,EUR",2190,57519,HOUSTON14BTX,BTX_LATITUDE,26-09-2015,03-10-2015,0,BTS,51:30.0
E10000,98R6C,ADPT,13,Adapter_Cavendish_65W_L6_HF_3P_WW,"ADPT,AC,65W,LTON,3P,HF,L6,WW",2190,199,PARTS,KENNETH_HOGAN_ADAPTERS_POWERCORDS,13-08-2016,09-04-2016,5,CTO,00:02.3
DAO,FDMRM,Memory,13,MEM_SODIMM_DDR4_2133_4GB,"DIMM,4GB,2133,1RX8,4G,DDR4,S",1865,62850,PARKCITY12BTX,BTX_LATITUDE,24-12-2016,19-03-2016,0,BTS,15:39.5
C10000,XP5PX,HDD_NB_DT,8,HDD_NB_2_5_1TB_5400_SATA3,"HD,1TB,S3,5.4,512E,ST,M8BP2,16",5000960,56858,PANDORA14HSWBTX,BTX_PERSONAL_NOTEBOOKS,04-06-2016,09-04-2016,403,BTO,00:02.3
I10000,C9GXC,ODD Mechanical,13,C9GXC_ASSY_BRKT,"ASSY,BRKT,F5,ODD,MT,T1650",5000236,62526,FARALLONMTCTO,NORMAWARZURA_MAT (RMSD_APJ),07-01-2017,05-03-2016,58,CTO,46:25.9
DAO,5120P,CORD,10,5120P_CFG,"CORD,PWR,125V,6FT,SPT2,UNSHLD",1865,79311,PR52472CODAIO,JACQUEL_HIGHTOWER(LARGE ORDERS),12-11-2016,06-02-2016,0,CTO,57:56.9
E10000,9M9FK,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,"DVD+/-RW,8X,9.5T,GU90N,HLDS",2190,55599,TIGRIS AIO BTX,BTX_OPTIPLEX_DESKTOPS,21-01-2017,05-03-2016,0,BTP,46:25.9
DAO,80HJ5,ODM Mechanical,13,"80HJ5-ASSY,CVR,HNG CAP,N-T, HD,L,H12","ASSY,CVR,HNG CAP,N-T, HD,L,H12",1865,57517,HOUSTON12TAA,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),06-08-2016,21-11-2015,0,CTO,02:40.4
E10000,KVMR4,Graphic Card,19,"KVMR4-CRD,GRPHC,8GB,W7100","CRD,GRPHC,8GB,W7100",2190,56527,AVALON7810CTO,KENNETH_HOGAN_COMMERCIAL_GRAPHICS,28-05-2016,21-11-2015,3,CTO,02:40.4
DAO,KFC4D,LCD,15,14.0HD_AG_E6_NBLCD,"LCD,14.0HDF,AG,EDP,AUO",1865,62853,PARKCITY14BTX,BTX_LATITUDE,04-06-2016,14-11-2015,180,BTS,02:40.4
DAO,V3171,ODD,13,RMSD_12_7_DVDRW_SATA_Fleming uSFF,"ASSY,DVD+/-RW,8,12.7T,HLD,XLOB",1865,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,12-03-2016,10-10-2015,0,BTS,51:30.0
C40000,4270E,ODD Mechanical,13,4270E_CFG,"SCR,M2X3,KSH,MS,BLO",5000947,56745,MARBLE FALLS15CTO,NUR_WARDAH_UMAR,04-06-2016,23-01-2016,0,CTO,11:48.7
DAO,9M9FK,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,"DVD+/-RW,8X,9.5T,GU90N,HLDS",1865,55599,TIGRIS AIO BTX,BTX_OPTIPLEX_DESKTOPS,19-12-2015,26-09-2015,132,BTS,51:30.0
E10000,01NRV,CORD,10,powercord_01NRV,"CORD,PWR,220V,2MTR,DIS,IRE/UK",2190,54165,MONITOR2,ANNMARIA_O'KELLY_CONSUM_FP,12-11-2016,28-11-2015,201,CTO,02:40.4
M10000,XCD5M,Keyboard_NBK,17,"NBKYBD_KYBD,82,US,ENG,M15ISU-TB","KYBD,82,US,ENG,M15ISU-TB",5000005,60825,BOLDPEAK2,ELISE_TAN (NBK_KYBD),05-12-2015,14-11-2015,0,CTO,02:40.4
E10000,G3582,CORD,10,POWERCORD_G3582,"CORD,PWR,250V,16A,1.8M,C19,SWI",2190,61449,C9010,EUGENE_MCMAHON_FORCE10,02-04-2016,26-09-2015,0,CTO,51:30.0
DAO,V3171,ODD,13,RMSD_12_7_DVDRW_SATA_Fleming uSFF,"ASSY,DVD+/-RW,8,12.7T,HLD,XLOB",1865,54091,TIGRISSFFBTX,BTX_OPTIPLEX_DESKTOPS,12-03-2016,10-10-2015,0,BTS,51:30.0
X10000,015J5,LCD,15,15.6HD_TL_SLIM_M15_NBLCD,"LCD,15.6HDF,EDP1.2,TLF",1865,60150,TULIP15SKLBTX,BTX_PERSONAL_NOTEBOOKS,12-03-2016,09-01-2016,0,BTS,13:36.0
C40000,0FKKK,Graphic Card,19,0FKKK,"ASSY,CBL,LOCK,DP2DP",5001416,56526,AVALON5810CTO,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),13-08-2016,26-09-2015,4,CTO,51:30.0
DAO,X4K99,ODM Mechanical,13,"X4K99-ASSY,CVR,HD,N-TCH,WWAN,GMLK12","ASSY,CVR,HD,N-TCH,WWAN,GMLK12",1865,57494,GOLIADMLK12BTXE,BTX_LATITUDE,10-12-2016,19-12-2015,0,BTS,02:40.4
C40000,KHPW0,ODM Mechanical,13,"KHPW0-ASSY,CVR,HNG,R,NTCH,E5570/3510","ASSY,CVR,HNG,R,NTCH,E5570/3510",5000947,63039,PARKCITY-P15CTO,PHOAY_HOON_TAN (LATI LCD),02-04-2016,30-01-2016,1,CTO,17:43.1
C40000,KXTTW,ADPT,13,ADAPTER_45W_L6_3P_4.5_WW_M14,"ADPT,AC,45W,LTON,3P,4.5,LC,WW",5000947,59383,IRIS15BSWBTX,MOHD_KAMAL_BAKAR (ADAPTER),21-11-2015,24-10-2015,5,CTO,02:40.4
M10000,1MKM4,Wireless,8,CRD_WRLES_DT DW1540_FH,"CRD,WRLES,NTWK,1540NOBT,PCI,FH",5000005,199,PARTS,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),19-03-2016,19-12-2015,10,CTO,02:40.4
C40000,4270E,ODD Mechanical,13,4270E_CFG,"SCR,M2X3,KSH,MS,BLO",5000947,52370,SALADO 14,PHOAY_HOON_TAN (LATI LCD),30-01-2016,17-10-2015,275,CTO,02:40.4
E10000,TXJ69,Battery,13,Jefferson_2_Primary_Thin,"BTRY,PRI,38WHR,2C,LITH,SIMPLO",2190,57379,JEFFERSONBTX,BTX_TABLETS,30-07-2016,28-11-2015,0,BTO,02:40.4
M10000,KKMYD,Graphic Card,19,Dongle_DP-to-DVI-D(SL),"ADPT,CON,DNGL,DP2DVISL",5000945,62533,FARALLONSFFFBTX,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),24-12-2016,27-02-2016,20,CTO,52:53.0
E10000,750CJ,ODD Mechanical,13,750CJ_SCR,"SCR,M2X2MM,PHH,MSCR,NPL",2190,61709,TAHOESFFBTX,BTX_VOSTRO_DESKTOPS,10-09-2016,07-05-2016,0,BTO,32:44.2
E10000,TXJ69,Battery,13,Jefferson_2_Primary_Thin,"BTRY,PRI,38WHR,2C,LITH,SIMPLO",2190,57379,JEFFERSONBTX,BTX_TABLETS,30-07-2016,28-11-2015,0,BTO,02:40.4
E10000,CRCDH,ODD Mechanical,13,CRCDH_PNL_FILLER,"PNL,FILLER,9.5MM,ODD,MT/SFF,D7",2190,62413,WHITEFISHCTO,DICK_LONERGAN_COMM_OPTI/FWS_GFX/NICS/OPTICAL,30-07-2016,12-03-2016,166,CTO,21:27.0
C10000,4270E,ODD Mechanical,13,4270E_CFG,"SCR,M2X3,KSH,MS,BLO",5000960,61343,MIRAMAR 15 CTO,SHIRLEY_CHEN,31-10-2015,31-10-2015,90,CTO,02:40.4
DAO,80HJ5,ODM Mechanical,13,"80HJ5-ASSY,CVR,HNG CAP,N-T, HD,L,H12","ASSY,CVR,HNG CAP,N-T, HD,L,H12",1865,57513,HOUSTON12BTX,BTX_LATITUDE,09-07-2016,03-10-2015,0,BTS,51:30.0
DAO,JY0YN,Wireless,8,CRD_WRLESS_DW1707,"CRD,WRLES,M2,DW1707BGN,WW,CHNY",1865,61688,LOTUSSFFBTX,BTX_PERSONAL_DESKTOPS,30-07-2016,05-03-2016,833,BTO,46:25.9
E10000,6TM1C,ADPT,13,Adapter_Cavendish_65W_L6_3P_WW,"ADPT,AC,65W,LTON,3P,L6,WW",2190,62884,LOVELAND15SBTX,BTX_LATITUDE,21-05-2016,28-11-2015,0,BTS,02:40.4
C40000,1MKM4,Wireless,8,CRD_WRLES_DT DW1540_FH,"CRD,WRLES,NTWK,1540NOBT,PCI,FH",5001416,57274,AMAZON7 MT,NUR_WARDAH_UMAR,24-09-2016,12-03-2016,0,CTO,21:27.0
DAO,NTRCY,Nic Card,22,"NTRCY-ASSY,CRD,NGFF,FH,ZOOM2","ASSY,CRD,NGFF,FH,ZOOM2",1865,56530,AVALON7910CTO,MARLISSA_MUSA,17-09-2016,26-03-2016,7,CTO,21:48.5
DAO,N2M64,Memory,13,MEM_SODIMM_DDR3L_1600_8GB,"DIMM,8GB,1600,2RX8,4G,DDR3L,S",1865,62416,WHITEFISHMFFBTX,BTX_OPTIPLEX_DESKTOPS,17-12-2016,07-05-2016,0,BTS,32:44.2
C40000,9M9FK,ODD,13,RMSD_9_5_DVDRW_SATA_Bare_Std,"DVD+/-RW,8X,9.5T,GU90N,HLDS",5000947,57368,FIGTREECTO,NORMAWARZURA_MAT (RMSD_APJ),05-03-2016,26-12-2015,17,CTO,21:42.6
C40000,KXTTW,ADPT,13,ADAPTER_45W_L6_3P_4.5_WW_M14,"ADPT,AC,45W,LTON,3P,4.5,LC,WW",5000948,59383,IRIS15BSWBTX,MOHD_KAMAL_BAKAR (ADAPTER),29-10-2016,02-01-2016,0,CTO,21:42.6
C40000,PR5D1,Memory,13,MEM_PR_DDR4_2133_32GB_8Gbx4DR_LV,"DIMM,32GB,2133,2RX4,8G,DDR4,R",5001416,52235,BEACHCOMBER,SIEW_KUN_NG,12-03-2016,30-01-2016,4,CTO,17:43.1
M10000,4270E,ODD Mechanical,13,4270E_CFG,"SCR,M2X3,KSH,MS,BLO",5000004,61345,MIRAMAR 17 CTO,BOON_SIM_LEE,03-09-2016,02-01-2016,3,CTO,21:42.6
DAO,VHN17,LCD,15,17.3FHD_AG_E6_MIRAMAR_NBLCD,"LCD,17.3FHD,FL,AG,EDP1.2,SEC",1865,63030,MIRAMAR 17TAA,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),25-02-2017,05-03-2016,132,CTO,46:25.9
DAO,VH761,SSD_NB_DT,8,SSD_NB_Full_Mini_128GB_SATA,"SSDR,128,S3,MCARD,SMSNG,PM851",1865,57515,HOUSTON12CTO,TOONG_SIN_WONG_RELATIONSHIPNB,14-01-2017,19-03-2016,0,CTO,15:39.5
DAO,N2M64,Memory,13,MEM_SODIMM_DDR3L_1600_8GB,"DIMM,8GB,1600,2RX8,4G,DDR3L,S",1865,73790,PR49428DIESEL17,JACQUEL_HIGHTOWER(LARGE ORDERS),09-07-2016,17-10-2015,0,CTO,02:40.4
C40000,P876J,ODD Mechanical,13,P876J_SCR,"SCR,M3X5,PHH,MSCR,NI",5001416,56526,AVALON5810CTO,CHAI_FERN_TAN HDD,15-04-2017,07-05-2016,4,CTO,32:44.2
E10000,23322,CORD,10,23322_CFG,"CORD,PWR,220V,1.8M,ITL/CHL",2190,56882,CENTAURI CTO,KENNETH_HOGAN_ADAPTERS_POWERCORDS,09-04-2016,26-09-2015,4,CTO,51:30.0
BRH,97DYV,HDD_NB_DT,8,HDD_NB_2_5_1TB_7200_SATA3,"HD,1TB,S3,7.2K,512E,HIT,JAG-C",2505,62434,TRIGGERFISH SFF,PATRICIA_COSTA (OPTIPLEX DT),16-04-2016,20-02-2016,3,CTO,57:56.9
M10000,77GRH,HDD_NB_DT,8,HDD_NB_2_5_1TB_5400_7mm_SATA3,"HD,1T,S3,5.4,7MM,512E,SEAHAWK",5001415,61333,BERLINETTA P,CHOON_PHENG_OOI,05-03-2016,05-03-2016,6,CTO,46:25.9
C40000,0U781,ODD Mechanical,13,0U781_CFG,"SCR,M3X5MM,HX,TF,ZPS",5000948,57275,AMAZON7 MT E,LI_THENG_FOO,03-12-2016,30-04-2016,0,CTO,32:44.2
DAO,P4T2F,Memory,13,MEM_UDIMM_DDR3L_1600_4GB,"DIMM,4G,1600,1RX8,4G,DDR3L,U",1865,61687,LOTUSMTBTX,BTX_PERSONAL_DESKTOPS,25-03-2017,26-03-2016,0,BTO,21:48.5
DAO,015J5,LCD,15,15.6HD_TL_SLIM_M15_NBLCD,"LCD,15.6HDF,EDP1.2,TLF",1865,59383,IRIS15BSWBTX,BTX_PERSONAL_NOTEBOOKS,12-03-2016,09-01-2016,37,BTP,13:36.0
DAO,V022P,LCD,15,12.5HD_AG_E6_NBLCD,"LCD,12.5HDF,AG,EDP,AUO",30169,62904,BEAVERCREEK12BTX,BTX_LATITUDE,30-01-2016,24-10-2015,5,BTS,02:40.4
E10000,PKCG9,Memory,13,MEM_PR_DDR3_1600_8GB_4Gbx8DR_LV,"DIMM,8GB,1600,2RX8,4G,DDR3L,R",2190,42537,DEFY,CHEE_KHOON_OOI,10-10-2015,10-10-2015,453,CTO,51:30.0
M10000,4270E,ODD Mechanical,13,4270E_CFG,"SCR,M2X3,KSH,MS,BLO",5000004,57519,HOUSTON14BTX,BTX_LATITUDE,14-05-2016,21-11-2015,5,BTO,02:40.4
C10000,CDF57,ADPT,13,Adapter_X45W_L6_3P_4.5_WW,"ADPT,AC,45W,LTON,3P,E5",5000960,57640,DINO13BTX,AARON_LEE,28-11-2015,26-09-2015,0,CTO,51:30.0
DAO,R1XFC,Network Card,13,R1XFC_CFG,"CRD,NTWK,12G,RNDC,INTEL,QP,1G",1865,58006,AVALON R XLCTO,FIONA_WOO(CTL/NTWK/IO_OPTI/PWS_DT),12-03-2016,13-02-2016,41,CTO,57:56.9
M10000,3T26J,ODM Mechanical,13,"3T26J-ASSY,BZL,LCD,HNG,CVR,3550","ASSY,BZL,LCD,HNG,CVR,3550",5000005,56746,MARBLE FALLS15BTX,BTX_LATITUDE,25-06-2016,23-01-2016,0,BTO,11:48.7
C40000,X4W7P,SSD_NB_DT,8,SSD_NB_2_5_128GB_SATA_S3,"SSDR,128G,S3,7MM,SMSNG,PM851",5001416,56833,DOGFISH 9 CTO,WENDY_SOO,26-09-2015,17-10-2015,56,CTO,02:40.4
C40000,2TRCP,HDD_NB_DT,8,HDD_NB_2_5_500GB_7200_SATA3,"HD,500G,S3,7.2,7,512E,JAGC7-RF",30000,59670,PLANOBCTO,CHOON_PHENG_OOI,16-07-2016,05-12-2015,5,CTO,02:40.4
E10000,4RNKC,Docking,8,Trinity Wireless_EMEA,"ASSY,DS,WIGIG,WLD15,EMEA",2190,199,PARTS,ROBERT_THOMPSTONE_DOCKING_STATIONS,20-08-2016,03-10-2015,0,CTO,51:30.0
E10000,TXJ69,Battery,13,Jefferson_2_Primary_Thin,"BTRY,PRI,38WHR,2C,LITH,SIMPLO",2190,57379,JEFFERSONBTX,BTX_TABLETS,30-07-2016,28-11-2015,0,BTO,02:40.4
E10000,01NRV,CORD,10,powercord_01NRV,"CORD,PWR,220V,2MTR,DIS,IRE/UK",2190,34929,PARTS COV,ANNMARIA_O'KELLY_CONSUM_FP,12-11-2016,28-11-2015,0,CTO,02:40.4
DAO,GPW07,ODD Mechanical,13,"GPW07-BZL,ODD,E5540/E5440","BZL,ODD,E5540/E5440",1865,53550,ALPINE15TAA,JANICE_KHOOODD_RELATIONSHIPNB),09-07-2016,17-10-2015,0,CTO,02:40.4
DAO,JNKWD,ADPT,13,Adapter_X65W_L6_3P_7.4_WW,"ADPT,AC,65W,LTON,3P,L6,E5",1865,62911,BEAVERCREEK12FCTO,KHAI_SHIAN_TAN,16-01-2016,21-11-2015,146,CTO,02:40.4
DAO,80HJ5,ODM Mechanical,13,"80HJ5-ASSY,CVR,HNG CAP,N-T, HD,L,H12","ASSY,CVR,HNG CAP,N-T, HD,L,H12",1865,57517,HOUSTON12TAA,HAR_HOOI_LIM(LCD_RELATIONSHIPNB),06-08-2016,21-11-2015,0,CTO,02:40.4
C40000,Y7XRF,Graphic Card,19,Graphics_OUGA12_FH,"CRD,GRPHC,2G,R5-340,OUGA12,FH",5001416,62441,WHITEFISH MT,FUEY_CHUIN_CHUAH (GRPH/NTWK/CTRL_FWS/OPTI ),01-10-2016,26-03-2016,22,CTO,21:48.5
M10000,YCX65,SSD_NB_DT,8,SSD_NB_2_5_256GB_SATA3_HP,"SSDR,256G,S3,7,SMSNG,SM871,HPR",5000945,56530,AVALON7910CTO,WENDY_SOO,24-09-2016,10-10-2015,0,CTO,51:30.0
DAO,29MKK,Speaker,18,29MKK - Speaker,"ASSY,SPKR,1W,RND,23MM,HF,990",1865,57268,AMAZON7MTBTX,BTX_OPTIPLEX_DESKTOPS,05-12-2015,26-09-2015,60,BTS,51:30.0
